Input,Output
"""/ -4 -4 -7 -7 -7 -9 0 -9 1""",null
"""* -1 8 -3 -3 6 -6 4""",10368
"""+ 8 6""",14
"""+ 1 9 2 -2 1""",11
"""* 0 -7 -1 -7""",0
"""- -3 -5 -5 5 1 -9 3 -7""",14
"""- 9 -4 8 -6""",11
"""/ 1""",1
"""* -1 5 5""",-25
"""- -1 -9 6""",2
"""- -7 9 7 5 -2 4 0 -8 7""",-29
"""/ -4 3 -7""",0.19
"""- 2""",2
"""* 6 -4 6 0""",0
"""+ -4 6""",2
"""/ -6 -1 5 4 -3 7 -8""",0.0
"""+ 4 -6 -9""",-11
"""+ 2 -7 -1 -7 -3 4 0 -1 -4""",-17
"""- 2 -9 1 -5 0 8 0 1 -7""",13
"""+ 7 -5 -1 -1""",0
"""* 6 1 6 2""",72
"""/ -3 -4 -6 -8 -5 -2 -2 3 -4""",0.0
"""- -1 -6 -9 -5 8 9 -6""",8
"""+ -7 2 8 -7 -6 7 -9 -9""",-21
"""- -5 9 -6 8 -9 -4""",-3
"""- -5 -7""",2
"""* 0 4 -4 1 -3 0 8 -1""",0
"""* 3 -7 -1 4""",84
"""/ -7 -2""",3.5
"""* 0 -5 -8 4""",0
"""- 4 -6 -7 9 -2 4 -5 8 3""",0
"""* -3""",-3
"""- -8 -6 5""",-7
"""- 1 5 -6 -9 6 6""",-1
"""* -1 9 -2 7 -4""",-504
"""/ 6 -5 4 9""",-0.03
"""+ -8 -9 6 0 4 -8 0 -6 -6""",-27
"""* 5 0""",0
"""+ -9 6 5 9 -3 1 -8 4""",5
"""+ -5 4 4 3 -8 -8 -8 -9 8""",-19
"""/ 6 -1 -1 -6 1 6 0 7""",null
"""* 1 -4 -5 -2 -4 7 -2""",-2240
"""* 1 5 0 2 9 1 6 7""",0
"""- 8 -2 9 -3 5 7""",-8
"""* -7 -5 -3 -6""",630
"""* 8 -9""",-72
"""- 6""",6
"""/ 8 -1 7 5 5""",-0.05
"""* 5 -8 0 -4""",0
"""- 0 3 8 -9""",-2
"""+ 1 -3 -8 -7 -3 2 -7""",-25
"""- 8 -8 -4 5 -4 7 -6""",18
"""- -2 -5 -3 -3 2 -6""",13
"""- -7 -6 1 -9 -3 7""",3
"""/ 7 -9 -4 5 0 -5 -5""",null
"""- -4""",-4
"""* -8 -3 4 1 6 -8 -2""",9216
"""/ -6 -9 6 2 3 -5""",-0.0
"""/ 3 -7 -2 -8 0 5 -6""",null
"""+ 4 -3 4 -9 -7 2""",-9
"""+ 5 -5 9""",9
"""+ 7""",7
"""+ 9 4 2 -1""",14
"""- -6 5 -9 -4 -7 -1 -4""",14
"""+ 4 -7 -7 7""",-3
"""+ 4""",4
"""- 7 -9 7 -8 -6 4 -9""",28
"""* -3 -2 -6 2 1 -9 7""",4536
"""* -8""",-8
"""* 1 -3 -4 5""",60
"""+ -9 3 -1 7 3 5 2 4 -7""",7
"""/ 3 1""",3.0
"""* -4 8 2 -2 -6""",-768
"""* 7 -6""",-42
"""/ 2 -8 1""",-0.25
"""+ -9 -2 9 0 2 1""",1
"""- -7 4 4 6 0 -4 -4 -9""",-4
"""+ 6 9 0 2 -3 2 -1 -4""",11
"""+ -6 6 -7 0 -9 1 9 8""",2
"""+ -5 -5 1 -8 7 2 -6 9""",-5
"""/ -6""",-6
"""/ -3 -6 -1 5 8 -4 7 6""",0.0
"""* -3 8 9 -5 -2 5 -7""",75600
"""- 6""",6
"""- -2""",-2
"""* -3 -6 -2 5 -1""",180
"""- -6 -5 -3 -9 4 8 -1 1 5""",-6
"""/ -4 -8 -2 7 4 5 -4""",0.0
"""+ 6 -3 0 -8 0 9""",4
"""+ -5 9 -3 0 -8 0""",-7
"""+ -1 6 6""",11
"""* 6 9 -3 8 9 4""",-46656
"""- 8 -7 9 9 0 8""",-11
"""/ -9 1 -7""",1.29
"""* -7 -9 -7 8 -6""",21168
"""* 1 6 -4 -5""",120
"""/ -7 9""",-0.78
"""+ -6 -2 -8 3 -3 8 8""",0
"""- -8 -3 1""",-6
"""+ -7 6 -1 -9 -7 8 -3""",-13
"""/ 5 -7""",-0.71
"""/ -5""",-5
"""- 2 0 0""",2
"""- 2 -9 -2 -6 -4 5""",18
"""+ -1 -6 -6 6""",-7
"""* 3 3 6""",54
"""- 0 0 -3 -7 -6 -6 6""",16
"""/ -1 -2 7 2 3 -6 -4 2 -2""",-0.0
"""+ 3 -3 -6 5 -4""",-5
"""/ -7 -6 7 6 7 9 3""",0.0
"""+ 2 -5 -7 -2 -4 -8 -9 -6""",-39
"""+ -7 -5""",-12
"""+ 5 -1 -7 3""",0
"""/ 8 -1 -6 -8 2""",-0.08
"""/ 9""",9
"""+ 1 2 -7 7 8 3 7 8""",29
"""/ 8 -9 -8 -1 6 -3 -8 7""",-0.0
"""+ 4 1 7 8 -8 7""",19
"""- -2 2 -6 -2 -1 9 -4 7""",-7
"""/ 3 3 -5 4 9 -1""",0.01
"""- -4 -5 0""",1
"""* 0 -5 -2 -4""",0
"""+ 8 4 -4""",8
"""* 0 6 1 -7""",0
"""/ -8 -7""",1.14
"""* 1 -2 1 -3 -2 4 -4 -6""",-1152
"""+ 5 0 8 8""",21
"""+ 4 0 -2 4 -1 9""",14
"""* -4 8 -9""",288
"""* -8 -5 4 -7 -8""",8960
"""/ -4""",-4
"""* -2""",-2
"""/ 5 9 6 -3 4 -4 -9 -6""",0.0
"""+ 9 -6 -9 -1 0 -6""",-13
"""* 7 -4 6""",-168
"""+ -1 9 1 7 8 1 -8""",17
"""+ 0 0 -5 7 7 -4 -6""",-1
"""- -7 -5 8 -3""",-7
"""- 2 8 1 6 -4 7""",-16
"""* -6 -8 0""",0
"""* 2 -2 2""",-8
"""+ -4 4 -1 5 5 7 0 4""",20
"""+ -8""",-8
"""+ -9 2 1 -6 -8 8 1""",-11
"""* -5""",-5
"""* 2 0 4 8""",0
"""- 4 3 3 -9 6""",1
"""- -7 -4 2 -3 5""",-7
"""/ -2 5 -8 4 -5 3""",-0.0
"""* 0 0 -7""",0
"""+ -9""",-9
"""/ 5 -5 3 -6 -2 8 -1 6""",0.0
"""* 0 6 4 -4 7 4 0 1 0""",0
"""/ -8""",-8
"""* -4 4 3 1 -2 -2 -9 5""",8640
"""* -1 -7 -3 -4""",84
"""* 9 -2 -9 4 3 9 4 -5""",-349920
"""+ -5 9""",4
"""* 1 1""",1
"""/ 4 -7""",-0.57
"""* -1 -2 -2 2 -7 2 -2 -6 0""",0
"""* -9 -2 -5 -5 -3 2""",-2700
"""- 3 -5 8""",0
"""- -8""",-8
"""- -5 3 3 -8 3 8 -7""",-7
"""* -9 4 -2 4 -4 -6 -7 -8""",387072
"""- 1 7 5 6""",-17
"""+ -6 9 8 -2 5 -3 2""",13
"""/ -4 -8 -1 -8""",0.06
"""* 8 -6 -2 5 6 7 -6""",-120960
"""* 3 1 -3 5 4""",-180
"""/ -6 2""",-3.0
"""- 7 -5 6 -5 -6""",17
"""- 1 6 -1 -6 -9""",11
"""/ 1 9 5 -9 5 6 0""",null
"""* -7 6 1 4 9 -3 0 3""",0
"""/ -9 9 -3 -8""",-0.04
"""/ 5 2""",2.5
"""* 5""",5
"""+ -9 -9 -8 5 8 7 9 6""",9
"""+ -2 8 -4""",2
"""+ 3 5 -6""",2
"""* -2""",-2
"""- 6 1 9 -3 -5 9 -8 1 0""",2
"""* 6 -1 -3 6 -6""",-648
"""+ -4 3 7 -1 3""",8
"""+ -1 -5 7 -9 -4 4""",-8
"""/ -1 5 1 -6""",0.03
"""* 1 4 -9 6 7""",-1512
"""- 5 -5 -4""",14
"""- 0 -7 2 -7""",12
"""/ 5 -2 -8 -8 8 -7 -8 0""",null
"""* 8""",8
"""- 9""",9
"""* 3 9 -1 0 9 -1""",0
"""- 9 -2 -6 -5 6 -3""",19
"""/ -9 -4 6 7 1 -4 1 -8 -9""",-0.0
"""- -8 8 -5 4 -7 7""",-15
"""* -3 -6 -5""",-90
"""+ 3 3 -4 5""",7
"""/ -7 1 -2 5 -7 1 -5 6 6""",0.0
"""+ -9""",-9
"""/ -9 8 -7 2 1 2 -9""",-0.0
"""/ 6 -2 9 6 1 3 -7 8 -7""",-0.0
"""- -4 8 5 -4""",-13
"""- -9""",-9
"""* 1 7 -9""",-63
"""+ 3 1 -7 -5""",-8
"""/ -1 -3 -5 9 -7 -9""",-0.0
"""/ 8 -9 -6 -4 7 4 -7 4""",0.0
"""+ 7 -7 5 6""",11
"""- -6 -2 5 -8""",-1
"""/ 6 5 3 9 -4 -6""",0.0
"""- -4 -6 6 -1""",-3
"""* 4 -2 -5 9 6 8 -2 7 0""",0
"""/ 1 -8""",-0.12
"""+ -5 -6 -8 -7 -4""",-30
"""/ 5 6 8""",0.1
"""* 5 6""",30
"""/ 3 -9 -6""",0.06
"""/ -3 1 5 9 -6 -6""",-0.0
"""* 8 8""",64
"""* -3 -1 -1""",-3
"""* -2 -4 3 -5 -2 1""",240
"""/ 7 6 -8 5 -5 2""",0.0
"""* -2 -1 4 -6 -2 2""",192
"""* -7 -9 5 -8 2 -8 -7 4""",-1128960
"""/ -1 1 -5""",0.2
"""- -9 -4 0 4 -9 2 -4 0""",2
"""* -7 -9 -5 -3 -5 5""",-23625
"""* -5 9 -7 9 -2""",-5670
"""- -2 -1 3 5 -8 2 -5 -4""",6
"""+ -9 3 -6 -6""",-18
"""* 2 -3 -9 6 -1 8 6 5""",-77760
"""/ 9 6 9 5""",0.03
"""+ -6 1 -5 -5 0 -6 -9 5 2""",-23
"""+ 5 7 -3 -9 3 5""",8
"""+ 8 -8 -6 9 4""",7
"""* 7 2 3 3 -4 -1 -9""",-4536
"""/ -7 -7 -6 9 6 -4 -5 -8""",0.0
"""/ 0 5 2 -1 6 -2 1""",0.0
"""/ 0 -6 2 1 -4 3""",0.0
"""* 0 8 4 -5 8 -3 1 -6 -9""",0
"""+ 7 5 -4 7 2 5 -7 -6 -2""",7
"""/ 2 6 0 -9""",null
"""* 8 -8 6 1""",-384
"""/ 7 4 1 -4 5 -4 -3 5 -7""",0.0
"""+ -2 -7 -9 -1 4 -7 -8 -1""",-31
"""/ -6 9 -4 5 -3""",-0.01
"""+ 8 -7 8 4 1 -1 -1""",12
"""+ -4 -4 4 -5 2 2 9 2""",6
"""/ -3 -3""",1.0
"""/ 8 -6 4 8""",-0.04
"""+ 4 -4 1 3 -9 0 -9 8""",-6
"""+ 3""",3
"""/ 9 6""",1.5
"""/ 8 2 8 -5 1 3 5""",-0.01
"""- 2 -3 -9 9 6 -2 -3 -1""",5
"""* 1 9 -4 9 -5""",1620
"""* -1 -8 -4 4 0 -7 8 -9 6""",0
"""/ -3""",-3
"""+ -4 4 -7 1 4 -8 -7""",-17
"""* -5""",-5
"""* -5 3 0 -5""",0
"""* -2 3 5 5 6 9 -2 -3""",-48600
"""- -4 -7 9 8""",-14
"""- 1 7 5 6 -9 6 6 -5""",-15
"""/ 1""",1
"""/ -1""",-1
"""+ 7 -6 6 -9 -5 -8 -9 -4""",-28
"""- 7 8""",-1
"""+ -5 -7 7""",-5
"""+ 5 -9 -8 -4 7 -6 3""",-12
"""+ -4 -1 1""",-4
"""+ -6 2 -7 -6 4 7 -5 -9""",-20
"""/ 6 0 8 -9 -2 -8 -4""",null
"""+ -7 -7 3 8 7 -5 -3 2 -4""",-6
"""- -3 -3 7 -6 -6""",5
"""* -8""",-8
"""/ 3 -3 -9 -8 -8""",0.0
"""* 8 7 -7 3 6 0 -3 -1""",0
"""- -3 0 -3 -9 6 5 -4""",2
"""/ 3 5 -8 5 -2""",0.01
"""- -2 -5 0 -1 -2 7 -5 -8""",12
"""/ 2 7 9 6 -6""",-0.0
"""+ -3 7 7 -9""",2
"""+ 8 -8 -1 -4 6""",1
"""+ -4 2 -9 -7 8 -3 -4 -2""",-19
"""* -7 -1 2 5 -5 6 -6 -2 9""",-226800
"""/ -4 4""",-1.0
"""* -5 -3 -4 7 -4""",1680
"""/ 0 3 -7 4 2""",-0.0
"""+ -1 -2 -3 8 7 -3""",6
"""/ -9 2 -4 4""",0.28
"""/ 0 -7 -2 4 -6 -2""",0.0
"""+ 7 7 0 -4 -5""",5
"""+ 9 -2 5 2 4 -1 7 6 -8""",22
"""* 5 -3 -5 9""",675
"""+ 6 2 4 1""",13
"""/ 0 1""",0.0
"""* -8 6 3 -9""",1296
"""* -4 -8 -8 -3 -1 4 7 6""",-129024
"""* -7 -7 3 -3 -7 2 -4 5""",-123480
"""+ 8 -8 -5 4""",-1
"""/ -7 6 -1""",1.17
"""+ -5 -2 3 1 0""",-3
"""+ 4 -8 -7 -6""",-17
"""* 8""",8
"""- 5 -8""",13
"""* -4 8 -3 5 4""",1920
"""- 7""",7
"""/ -8 -2 -7 3 -6 2 4""",0.0
"""* 3 -2 7""",-42
"""* -5 6 8 7 8""",-13440
"""- 6 -2""",8
"""* -8 -9 6 7 -8 7 9""",-1524096
"""- 7""",7
"""+ -9 -5 3 1 6 2 9 -8""",-1
"""+ 2 -1 1 -6 -4 9""",1
"""+ -9 -1 1 -6 1""",-14
"""* -5 4 -1 6""",120
"""+ 9 9 -3 -1 3""",17
"""+ 3 9 4 -6 4 7 0 0""",21
"""- 0""",0
"""/ 2 2 -8 -8 7 3 -1 -8""",0.0
"""* -9 7 -6 -6 3""",-6804
"""- -6 0 -9 9 -9""",3
"""/ 1""",1
"""/ 3 1""",3.0
"""* -3""",-3
"""+ 1 2 5 -9""",-1
"""+ 2 -1 3 -8 9 -2 2 -3 6""",8
"""/ -8 -6""",1.33
"""+ -2 -8 9""",-1
"""/ 8""",8
"""* -2 -2 5 -8 -6 1 0 6""",0
"""+ -1 -4 6""",1
"""- -7 -1 0 9 -1 6 -2""",-18
"""+ 2""",2
"""/ 6""",6
"""- 5 2""",3
"""* -2 2 2""",-8
"""- -4 -4 -2 2 7 2""",-9
"""* 4 5 -9""",-180
"""- -9 5 2 8 -5 4 -3 -1""",-19
"""* -9 -7 -5 7 -1 -5 8 -8 -6""",-4233600
"""* 7 2 -4""",-56
"""/ 5 6""",0.83
"""* -9 -9 9 -3 7 9 -3""",413343
"""+ -7""",-7
"""+ 9 7 -1 2 -7 -4 1 3""",10
"""+ -2 6 7 -5""",6
"""+ -3 -8 2""",-9
"""+ 8 6 -4 9 4""",23
"""/ 0 0 0 -2 -2 4""",null
"""/ -3 2""",-1.5
"""* 2""",2
"""/ 9 5""",1.8
"""+ 0 -8 7 -7 -5 7 1 7 5""",7
"""+ -9 1 5 9 -5 9 8 -9""",9
"""- -6 -5 -7 1 -7 -6 -9""",27
"""- -7 6 -7 -9 -1""",4
"""- 8 -8 -7 9""",14
"""+ 8 -2 -5""",1
"""/ -2 -2 -5 -8 -4 -6 -4""",-0.0
"""/ 6 -6 -2""",0.5
"""- -6""",-6
"""- -1 -7 -2 0 5 -4 0 5""",2
"""- 2 -8 -1 3 7""",1
"""+ 5 3 5 4 -8""",9
"""+ 0 8 -1""",7
"""* -6 -9 -9 -4 -1 -7 5 0 6""",0
"""/ 9 2 1 -1 -6 0""",null
"""+ -4 -5""",-9
"""- 9 7 9 -5 5 -2 6 8 1""",-20
"""+ 5 2 -2 7 8""",20
"""+ -7 1 0""",-6
"""/ 9 0 2""",null
"""/ -9 -5 -8 4 -2 8 5 -5""",-0.0
"""* -1 8 -3 8 6 0 -4""",0
"""* -3 8 7""",-168
"""* 2 -4""",-8
"""- 7 5 7 -2 8""",-11
"""* -3 -8""",24
"""- 3 8 -3 -6 1 6 -6""",3
"""- -5 7 -2 8 8 -1 6 9 -6""",-34
"""/ -9 -7 -5""",-0.26
"""- 5 -1 -3 -6 -4 2 8 4""",5
"""/ -4 -4 6 -7 4 2""",-0.0
"""- 3 4 9 -4 6""",-12
"""* 4 0 -7""",0
"""+ 5 -6 8 5""",12
"""/ -2 0 -3""",null
"""+ -4 -8 8 6 -5 8 -3 1""",3
"""- -7 -7 -8""",8
"""- 5 -3 -9""",17
"""- -7 3 -1 2 -8 0 -7 7 -8""",5
"""* 1 -4 0""",0
"""/ -1 -5 -9 -5 9 -9 -8 0""",null
"""* 1 -2""",-2
"""- 0 5 5 -1 2 1""",-12
"""* 6""",6
"""/ 7 -6 3 -5 6""",0.01
"""- -6""",-6
"""* -2 -9""",18
"""/ -6 -5 -7 -6 6 -2""",-0.0
"""/ 6 9 -2 -5""",0.07
"""+ 4 1 -2""",3
"""- 2 9""",-7
"""/ 5 8 -3 -4 6 8""",0.0
"""* -1 4""",-4
"""+ 6 -3 -1""",2
"""/ -9 -9 -8 5 5""",-0.01
"""- 4 -1 -1 -3 9 5""",-5
"""+ 7 6 8 5 9 -7 6 -5 -4""",25
"""+ 9 -9""",0
"""+ 6 7 -8 9 -2""",12
"""+ -9 6 -5 -3""",-11
"""/ 3 -2 -3 -8 -7 -7 2 -2 9""",0.0
"""+ 9 5 -6 2 -6 0""",4
"""* -6""",-6
"""+ -6 -8 -5 6 -5 5 0""",-13
"""+ -3 8 -3 0 -7 1 1 -1 -9""",-13
"""/ 3 1 -6 -8 5 2 -6 5 0""",null
"""* 0 -2 -4 -9""",0
"""/ 7 -3 -6 1 -9 -3 7 5 -3""",-0.0
"""- 2 4 4 -8 2 1""",-1
"""* 1 -8 2 0 0 3 9 -5""",0
"""/ 6 -1 -6 -6""",-0.17
"""* -6 1 9""",-54
"""- -6 1 7 7 6""",-27
"""- -2 0 8 0 -5 2 -9 -7 1""",8
"""* -8 -4 -6 -4""",768
"""- 9 1""",8
"""- -5 5 2 -3 8 -5 0 2""",-14
"""* 7 7 1""",49
"""- 6 0 -3 7 4 -1 3 -3""",-1
"""/ -3 6 4 -1 -7""",-0.02
"""* -3 -3 -9 4 -1 6 -1 4""",-7776
"""- -7 -5 -6 -7""",11
"""- -2 5 0 7 -2 -4 -5""",-3
"""- 4 -4 9 5 -1 -6""",1
"""* -2 -3 0""",0
"""+ -2 -9 2 9 9 -1 2 -3""",7
"""* -8 -3 -2 7 5 2 -8 -1""",-26880
"""+ 4 5""",9
"""* -4 -4""",16
"""+ 8 3 5 -9 -1 -5 -3 -1 -5""",-8
"""* -2""",-2
"""- -8 -3""",-5
"""+ 0 -7 7 1 4 -1""",4
"""+ 0""",0
"""/ -7""",-7
"""* -4""",-4
"""* 7 2 -1 7 -7 1 7""",4802
"""* 7 8 6 -8 -2 -7 -7""",263424
"""+ 1 -6 -8 8 2 7 3 -1""",6
"""- -9 -1""",-8
"""- 6 -9 -1 5 -3 1 8 -2 -5""",12
"""* -7 -3 9 3 6 -6""",-20412
"""* 1 2 9 -4 -9 0 3 0""",0
"""* 8 1 7 -4 7 -3 3 -6 4""",-338688
"""* -6 -7 -6 -9 4 -1 7 4""",-254016
"""* 9 -3 -8 5 2 0""",0
"""- -9 0 5""",-14
"""+ 1 -5 -9 9 -8 -1 -2 7 1""",-7
"""/ 5 -1 -2 3 -7 3 6 2""",-0.0
"""- 8 -1 -8 9 8 -9 3 2 -2""",6
"""/ 7 7 5 -2 -6 -9""",-0.0
"""+ -3 0""",-3
"""/ 1 -2 2 -6 4 -2 2""",-0.0
"""/ -6 -7 8 -6 -1 3 5 0 -3""",null
"""/ -9 9 -4 -3 7 4""",-0.0
"""- 4 -6 -2 3 8""",1
"""- -3 -6""",3
"""+ 7 1 4 3 -9""",6
"""- 0 1 2""",-3
"""+ -1 0 8 -7 -7 8 1 -5 -2""",-5
"""- 0 4 -6 -1 -1 4 -2 -3""",5
"""/ 0""",0
"""* 1""",1
"""* 8 -4""",-32
"""/ 6""",6
"""/ -6 -6 -8 7 -4 3""",0.0
"""- -2 -8 9 5 1""",-9
"""* -8 5""",-40
"""+ 4 -9 -6""",-11
"""+ -3 7 -7 2""",-1
"""/ -3 -8 -6 7 -1 5 -1 -8 4""",0.0
"""* 7 6 -2""",-84
"""* 4 -2""",-8
"""- -7 6 7 8 -2 -6 -8""",-12
"""/ -3 -8 -7 -1 -3 7 7 8 0""",null
"""* 6 -7 -5 2 -7 1 -3 6 3""",158760
"""+ -7 6 -9""",-10
"""/ -4""",-4
"""+ 1""",1
"""/ -6 1 3""",-2.0
"""+ 0 0 8 3 -8 6 -4 -2 4""",7
"""- -5 1 -7 1 5 2 9""",-16
"""+ 7 3 -8 -5 1 0 4""",2
"""* 3 -7 -2 -5 3 0 9 9 8""",0
"""+ 1 -7 9 -3 2""",2
"""* -7 8""",-56
"""/ 1 -3 -6 -3 -6""",0.0
"""- 3 1 -7 0 5 0 -2""",6
"""* 6 -7 -2 2 -3 6 -5""",15120
"""/ -5 4 8 1""",-0.16
"""- 6 -1 -7 -5 1 2""",16
"""* 9 0 -3 -8 -6 -7 9""",0
"""- 8 8""",0
"""* 6 9 7 0 7 -1 2 1""",0
"""/ -2 7 9 5 3""",-0.0
"""* -6 -4 4""",96
"""+ 9 8""",17
"""/ -1 1 2 -7 -4 -1 6 -4""",-0.0
"""* 0 -8 9 8 2 5 -5 3 3""",0
"""/ 2 5""",0.4
"""/ 5 -5 -3 -5 2 3 2 -3""",0.0
"""* 0 -5 3 -8""",0
"""+ 2 3 8 2""",15
"""- -4 -6 3 -9 2 4 6 -8""",4
"""/ -3 0 -6 -1 -9 -8 -6 9""",null
"""+ -1""",-1
"""- 2 0 -4 4 -1""",3
"""- 2 -8 -1""",11
"""/ 6 8 -6 9 6 6""",-0.0
"""+ -5""",-5
"""/ 0 5 2 -8 -5 -7 -2 3""",0.0
"""/ 7 8 -3 -9 -3""",-0.01
"""* 0 -7 8""",0
"""* -5 0 -6""",0
"""/ -7 9 1 -4 8 9 -7""",-0.0
"""/ -5 8 5 6 -8 7 -3 9 3""",-0.0
"""/ 2 -8 0 5""",null
"""* -8 -6 -5 3 8 5 5""",-144000
"""+ -4 -7 4 8 9 -8""",2
"""/ -5 -7 -9 -8 2""",0.0
"""* 0 1 -4 5 1 7""",0
"""/ -6 1 9 -8 0 3 -4 -1""",null
"""+ 3 4 -7 -4 1 7 5 -1""",8
"""/ -3 6 2 -2""",0.12
"""- -6 7 1""",-14
"""- 9 1 5 8""",-5
"""- 9 -7 -7 -7""",30
"""* 7 9""",63
"""+ 0""",0
"""- 3""",3
"""* -1""",-1
"""/ 9""",9
"""- 5 3""",2
"""+ 6 -5 -1 1 7 9 -2 -1 -9""",5
"""/ 8 -8""",-1.0
"""- -5 8""",-13
"""* 8 8 -1""",-64
"""/ 8 0 -3 -7 5 -3 -9""",null
"""* -6 -1 -7""",-42
"""* 5 -7 2 1 3 -7 4""",5880
"""/ 9""",9
"""/ -6 -7 -5""",-0.17
"""/ -3""",-3
"""* -8 -1""",8
"""+ -1""",-1
"""/ -5""",-5
"""/ -2 -4 -2 4""",-0.06
"""* -7 -8 7 -1 -6 -5 8 7""",-658560
"""/ 1 0 1 -6 2 4 2 1 6""",null
"""+ 0 -8 -2 -8 -9 7 -8 -4""",-32
"""/ 0 3 -6 -3""",0.0
"""- 8 -6 -2 -6 -1 9 -3""",17
"""/ 6 7 -2 0 -3 9 -4 -9 -2""",null
"""* 3 2""",6
"""- 5 -7""",12
"""/ 4 -3 7 -8 2""",0.01
"""- 3 -1 -7 -4""",15
"""+ -6""",-6
"""* -3 -3 8 3 7 5 7 -5""",-264600
"""* -8 -7""",56
"""- 3 -2 7 6 -1""",-7
"""/ 2 -1 -4 1 -4 -4 -4 -6""",0.0
"""* 6 -7 -9 8 -2 0""",0
"""+ -8 9 9""",10
"""- -1 9 6 7 -8 -3 1""",-13
"""* -6 2""",-12
"""+ 1 7 0 -6 -3 -6 -8 -5 -6""",-26
"""* -3 5 4""",-60
"""- 6 6 -9 3 -2 -5 8""",5
"""* -8 5 -5 9 -4 -2 -9""",-129600
"""- 9 4 -3 1 0 3 7 5 -2""",-6
"""+ -5 3 0 5 -8 3""",-2
"""/ -2 -3 8 5 4 3 6 5""",0.0
"""+ 0""",0
"""/ 3 3 -2""",-0.5
"""/ 1 -9 0 4""",null
"""+ 6 -4 7 9 8""",26
"""* -6 4 -4 -2 -7 5 -9 5""",-302400
"""- 4 5 6 -8 1 7 1""",-8
"""- 3 -8 3 -1""",9
"""/ 1 1 -2 7 -2""",0.04
"""- 6 -6 -2 5 2""",7
"""* 1 -2 3 9 7 -4""",1512
"""- -9 -8 9 -3 1 -2 2 5 4""",-17
"""- 7 -7 1 3 -7 -2 5""",14
"""* -9 -9""",81
"""- 7 -9 2 -8 0""",22
"""/ -5 8 -8 9 -6""",-0.0
"""- 4 1 -2 0 1 2""",2
"""- 7 2""",5
"""/ -2 -6""",0.33
"""+ 9 -8 0 0 -9 -3 -3""",-14
"""- 9 8 -3 7 2""",-5
"""* 9 7""",63
"""/ -3 0 8 2 -8 8 -1""",null
"""+ 1 -8 -1 9 6 9 -5 -7""",4
"""+ 0 -6 5 0 1 6 9 3""",18
"""* 7 5 -2 -7 0 7 1 -9""",0
"""/ -3 6 -9 4 -1 2 0 -5 9""",null
"""* 9 -9 -2""",162
"""* 4 9 -1""",-36
"""/ -6 0 0 -8 3 2""",null
"""/ -4 3 3 7 5 -8 7 7""",0.0
"""* 1 -3 -9 -2 -8 -8 4 -7 7""",677376
"""+ 2 -1 9 6 9""",25
"""- 6 1 6 2""",-3
"""* 5 -6 9 -7 -3 -1 1 0""",0
"""- -8 2 -7 8 -5 -8 -4 -1 3""",4
"""/ 3 4 -7 -9 -7 5 7 -3 -7""",-0.0
"""* 0 -6 8 5 2 -2""",0
"""* -5 -9 -5""",-225
"""+ 3 6 8 -3 1 3""",18
"""/ 3""",3
"""* -5 -6 6 0 2 6 5 -1 -2""",0
"""/ -6 -8""",0.75
"""+ 1 -8 -3 -3 -7 4 2 -8 2""",-20
"""+ 6 5 -5 5 1 2 -5""",9
"""- 7 -3 -4 2 9 -7 -4 6""",8
"""/ 4 -8 -4 -3 -4 5 9 5""",0.0
"""- -9 -9 6 -6 -2 9 -2 5""",-10
"""- 8 5 1 5 -7 7 7 -4""",-6
"""+ 6 -3 -7 5 -8 6 4 1""",4
"""- -3 4 -7 -7 2 2 5 -1""",-1
"""* 7""",7
"""* -5 3 -5 -8 -5""",3000
"""/ -9 0 -8 -8 -5 -3 7 -3 0""",null
"""* 4 7""",28
"""* -8 8""",-64
"""* 4 -1 -6 3 -9 -6 -9 7 8""",-1959552
"""* -3 -1 8 -9 4 -2 -5 3 1""",-25920
"""/ -1 7 -4 0 -4 -3 -6 -7 -9""",null
"""/ -9 -3 7 2 5 4""",0.01
"""/ -4 4 -8 8 -3 -4 -1""",-0.0
"""* 8""",8
"""- 3 2 -6 -5 -8 8 9""",3
"""/ 1 0 -4 3 -3 4 9 2""",null
"""- -7 3 3 -5 -1 -4 -2 -5""",4
"""+ -7""",-7
"""/ 2 6 -3 6""",-0.02
"""/ 2 4 6 8 8 -5 1 9""",-0.0
"""- -5 3 -9 -3 0 9 -3 4""",-6
"""+ -6""",-6
"""* 2 6 -6 2 0""",0
"""* -4 -8 3 -7 -5 1 -1 -2""",6720
"""- 8""",8
"""/ 4 8 9 -5""",-0.01
"""/ -3 -2""",1.5
"""* 3""",3
"""+ 8 -8 3 1""",4
"""- 5 -8 6 4 6 -7""",4
"""- 3 -9 5 -1 5""",3
"""- 6 2 -4 6""",2
"""- 4""",4
"""* 5 -3 -3 9 3 7 7 2""",119070
"""* -1 -9 1 5""",45
"""/ -6 4 2 -2 -9 -1""",0.04
"""+ -9 9 0 9""",9
"""+ 2 -9 4 -8 4""",-7
"""* -7 0 2""",0
"""- -9 6 5""",-20
"""* 7 0 4 5 -5 -4""",0
"""+ -9 0 8 1 6 8 -4 4""",14
"""+ 4 -2 8""",10
"""* -3 5 -5 -2 -6 -9""",-8100
"""* -6 -4 -7""",-168
"""+ -1 -7 -5 -6 -3 6""",-16
"""- -6""",-6
"""- -8 -4 -1 -7 -5 7 8 -8""",2
